"sampleID","location","rep_number","plot_number","Corrected_pedigree","Observed","Simpson","Shannon"
"DEH1-1-106","DEH1",1,106,"B73/MO17",41,0.951414222222222,3.34920875057102
"DEH1-1-112","DEH1",1,112,"B14A/OH43",27,0.932773333333333,2.95404788395461
"DEH1-1-116","DEH1",1,116,"B73/PHM49",31,0.942873777777778,3.06447003712757
"DEH1-1-173","DEH1",1,173,"CG44/CGR01",36,0.941440888888889,3.15448844589543
"DEH1-1-187","DEH1",1,187,"F42/OH43",33,0.934588444444444,3.01167575732956
"DEH1-1-190","DEH1",1,190,"PHW52/PHM49",12,0.825195555555556,1.99646078440057
"DEH1-1-302","DEH1",1,302,"B14A/MO17",18,0.915350222222222,2.68774287922169
"DEH1-1-304","DEH1",1,304,"PHN11_PHW65_0015/LH195",35,0.954782222222222,3.2773666218529
"DEH1-1-31","DEH1",1,31,"B14A/MO17",36,0.951889777777778,3.23513806065131
"DEH1-1-331","DEH1",1,331,"PHN11_PHW65_0407/LH195",40,0.924515555555556,3.06745950607949
"DEH1-1-345","DEH1",1,345,"PHN11_PHW65_0301/LH195",23,0.926622222222222,2.81318843443671
"DEH1-1-363","DEH1",1,363,"PHW65_MOG_0176/LH195",38,0.954536,3.31272102502417
"DEH1-1-369","DEH1",1,369,"PHW65_MOG_0163/LH195",8,0.706791111111111,1.47251256900407
"DEH1-1-399","DEH1",1,399,"PHW65_MOG_0553/LH195",25,0.936355555555556,2.93531524497971
"DEH1-1-40","DEH1",1,40,"CG119/CG108",48,0.968433777777778,3.60301733702799
"DEH1-1-414","DEH1",1,414,"PHW65_MOG_0196/LH195",33,0.960210666666667,3.33841737845856
"DEH1-1-422","DEH1",1,422,"PHW65_MOG_0056/LH195",12,0.701279111111111,1.62716380458718
"DEH1-1-439","DEH1",1,439,"PHW65_MOG_0377/LH195",28,0.938458666666667,3.00061283310947
"DEH1-1-500","DEH1",1,500,"PHW65_MOG_0476/LH195",64,0.971448888888889,3.81818466954692
"DEH1-1-6","DEH1",1,6,"F42/H95",19,0.778690666666667,2.00427272433352
"DEH1-1-75","DEH1",1,75,"PHG39/PHN82",32,0.949536888888889,3.15864009183543
"DEH1-1-91","DEH1",1,91,"LH74/PHN82",49,0.962663111111111,3.56546972188646
"DEH1-2-505","DEH1",2,505,"PHW65_MOG_0068/LH195",15,0.899128888888889,2.44226110716885
"DEH1-2-514","DEH1",2,514,"PHW65_MOG_0062/LH195",16,0.912006222222222,2.58644779604622
"DEH1-2-522","DEH1",2,522,"PHW65_MOG_0192/LH195",34,0.945588444444444,3.16274259118962
"DEH1-2-530","DEH1",2,530,"PHW65_MOG_0567/LH195",23,0.898568,2.65159310008903
"DEH1-2-580","DEH1",2,580,"PHN11_PHW65_0143/LH195",26,0.90404,2.69003220041206
"DEH1-2-585","DEH1",2,585,"PHN11_PHW65_0541/LH195",39,0.949451555555556,3.28462292558191
"DEH1-2-610","DEH1",2,610,"PHN11_PHW65_0267/LH195",42,0.958846222222222,3.42459368414517
"DEH1-2-614","DEH1",2,614,"PHN11_PHW65_0386/LH195",28,0.906002666666667,2.82012292213477
"DEH1-2-637","DEH1",2,637,"PHN11_PHW65_0027/LH195",20,0.91796,2.65977853841983
"DEH1-2-655","DEH1",2,655,"MO44_PHW65_0155/LH195",23,0.920339555555556,2.78752831135212
"DEH1-2-689","DEH1",2,689,"MO44_PHW65_0185/LH195",21,0.923498666666667,2.78328400295863
"DEH1-2-713","DEH1",2,713,"B73/PHN82",28,0.910618666666667,2.76319820817565
"DEH1-2-719","DEH1",2,719,"PHN11_PHW65_0144/PHT69",37,0.966784,3.48835227886234
"DEH1-2-720","DEH1",2,720,"PHN11_PHW65_0021/PHT69",19,0.909678222222222,2.63362923632089
"DEH1-2-751","DEH1",2,751,"PHN11_PHW65_0423/PHT69",32,0.948230222222222,3.17705917627734
"DEH1-2-756","DEH1",2,756,"PHN11_PHW65_0443/PHT69",10,0.696607111111111,1.60973751643862
"DEH1-2-780","DEH1",2,780,"PHN11_PHW65_0369/PHT69",59,0.959620444444444,3.64951791633879
"DEH1-2-791","DEH1",2,791,"PHN11_PHW65_0345/PHT69",38,0.933690666666667,3.04638801460699
"DEH1-2-809","DEH1",2,809,"PHW65_MOG_0296/PHT69",13,0.845788444444444,2.14973482135203
"DEH1-2-827","DEH1",2,827,"PHW65_MOG_0213/PHT69",39,0.959653333333333,3.37556347919874
"DEH1-2-839","DEH1",2,839,"PHW65_MOG_0111/PHT69",39,0.954003555555556,3.30183599136861
"DEH1-2-846","DEH1",2,846,"PHW65_MOG_0291/PHT69",40,0.945612444444444,3.35477951731301
"DEH1-2-860","DEH1",2,860,"PHW65_MOG_0629/PHT69",20,0.869608888888889,2.45141041864035
"DEH1-2-866","DEH1",2,866,"PHW65_MOG_0221/PHT69",69,0.972983111111111,3.85980843596474
"DEH1-2-900","DEH1",2,900,"MO44_PHW65_0464/PHT69",48,0.961496,3.50856726798864
"DEH1-2-902","DEH1",2,902,"MO44_PHW65_0029/PHT69",19,0.908713777777778,2.60487580791997
"DEH1-2-917","DEH1",2,917,"MO44/PHT69",20,0.920360888888889,2.72240944404687
"DEH1-2-923","DEH1",2,923,"MO44_PHW65_0237/PHT69",34,0.947268444444444,3.15577001439184
"DEH1-2-937","DEH1",2,937,"MO44_PHW65_0321/PHT69",26,0.931979555555556,2.97226350291479
"DEH1-2-968","DEH1",2,968,"B37/OH43",90,0.981532444444444,4.27549066058708
"DEH1-2-985","DEH1",2,985,"CG119/CG108",24,0.928580444444444,2.8563325348197
"DEH1-2-987","DEH1",2,987,"B37/H95",57,0.972741333333333,3.83563298202075
"GAH2-1-106","GAH2",1,106,"PHW65_MOG_0424/PHT69",34,0.952485333333333,3.22610533141202
"GAH2-1-108","GAH2",1,108,"B37/OH43",26,0.940259555555556,3.00579791278714
"GAH2-1-132","GAH2",1,132,"B37/MO17",42,0.958146666666667,3.3781155010827
"GAH2-1-135","GAH2",1,135,"B73/MO17",46,0.967294222222222,3.59084709919973
"GAH2-1-170","GAH2",1,170,"2369/LH123HT",35,0.957814222222222,3.29327935891862
"GAH2-1-184","GAH2",1,184,"B37/H95",60,0.974644444444444,3.85495959184534
"GAH2-1-191","GAH2",1,191,"B73/TX779",41,0.958709333333333,3.3895256615702
"GAH2-1-206","GAH2",1,206,"F42/OH43",40,0.960864,3.42296474776679
"GAH2-1-217","GAH2",1,217,"LH74/PHN82",40,0.959525333333333,3.40989042017942
"GAH2-1-220","GAH2",1,220,"B37/H95",47,0.968329777777778,3.61077625135419
"GAH2-1-226","GAH2",1,226,"2369/LH123HT",22,0.931684444444444,2.8602325969951
"GAH2-1-242","GAH2",1,242,"PHW65_MOG_0294/PHT69",43,0.961054222222222,3.45708214977207
"GAH2-1-245","GAH2",1,245,"TX714/TX779",59,0.976754666666667,3.88617305079852
"GAH2-1-38","GAH2",1,38,"TX110/87916",43,0.962378666666667,3.46680752476445
"GAH2-1-46","GAH2",1,46,"B37/H95",38,0.957106666666667,3.33644169770145
"GAH2-1-49","GAH2",1,49,"CGR01/CG44",26,0.931293333333333,2.98705328758959
"GAH2-1-50","GAH2",1,50,"LH132/TX779",34,0.949254222222222,3.22551581119329
"GAH2-1-52","GAH2",1,52,"CG44/CGR01",27,0.935836444444444,2.96086463550839
"GAH2-1-6","GAH2",1,6,"B37/MO17",21,0.926172444444444,2.74549909589023
"GAH2-1-73","GAH2",1,73,"MO44_PHW65_0260/PHT69",22,0.914696,2.67322301369503
"GAH2-1-83","GAH2",1,83,"F42/OH43",20,0.926939555555556,2.76097663740868
"GAH2-1-86","GAH2",1,86,"F42/OH43",44,0.958423111111111,3.43150668847219
"GAH2-1-98","GAH2",1,98,"B37/MO17",25,0.928017777777778,2.87109944009965
"GAH2-2-268","GAH2",2,268,"B73/MO17",58,0.969431111111111,3.71619078035442
"GAH2-2-282","GAH2",2,282,"B73/TX779",17,0.916159111111111,2.58621003214645
"GAH2-2-284","GAH2",2,284,"PHW65_MOG_0294/PHT69",37,0.944939555555556,3.20704173686403
"GAH2-2-293","GAH2",2,293,"B37/H95",43,0.962694222222222,3.48933521502955
"GAH2-2-299","GAH2",2,299,"B37/H95",37,0.959050666666667,3.36679200275412
"GAH2-2-353","GAH2",2,353,"PHW65_MOG_0423/PHT69",45,0.962358222222222,3.46147583444298
